UniqueID,IDnotebook,CollectionDate,SeasonDay,Location,CollectorName,InfectionDate,Dose,DoseBacteriaNumber,BacterialSpecies,Treatment,Death_date,Days_post_infection,Status,PronotumLength,PronotumMeasured,ElytralLength,ElytralMeasured,Mass,MassMeasured,Notes,PhysiologicalCondition,ELBins,MassBins,SeasonDayBins
A696,MJT109,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Maddy Tuffy ,15-Jul,NA,0,01_uninjected,01_uninjected ,17-Jul,2,1,2.16,Y,9.42,Y,0.0285,Y,,0.003025478,3,2,2
A689,EVB57,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Emily Van Beek ,15-Jul,NA,0,01_uninjected,01_uninjected ,27-Jul,12,1,2.99,Y,9.39,Y,0.0293,Y,,0.003120341,3,2,2
A688,EVB51,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Emily Van Beek ,15-Jul,NA,0,01_uninjected,01_uninjected ,28-Jul,13,1,2.09,Y,10.1,Y,0.0339,Y,,0.003356436,3,2,2
A700,DP47,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Deeshani Patel ,15-Jul,NA,0,01_uninjected,01_uninjected ,28-Jul,13,1,2.67,Y,9.18,Y,0.0355,Y,,0.003867102,3,2,2
A691,EVB82,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Emily Van Beek ,15-Jul,NA,0,01_uninjected,01_uninjected ,19-Jul,4,1,2.64,Y,10.78,Y,0.0447,Y,,0.004146568,4,3,2
A693,EVB92,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Emily Van Beek ,15-Jul,NA,0,01_uninjected,01_uninjected ,29-Jul,14,1,2.91,Y,10.35,Y,0.0464,Y,,0.004483092,3,3,2
A697,EVB47,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Emily Van Beek ,15-Jul,NA,0,01_uninjected,01_uninjected ,30-Jul,15,1,2.43,Y,11,Y,0.048,Y,,0.004363636,4,3,2
A806,AZ130,19-Jul,22,"USA: Montour Co, Bucknell Natural Area",Anqi Zang ,20-Jul,NA,0,01_uninjected,01_uninjected ,24-Jul,4,1,2.96,Y,8.68,Y,0.0248,Y,,0.002857143,2,1,2
A811,DP,19-Jul,22,"USA: Montour Co, Bucknell Natural Area",Deeshani Patel,20-Jul,NA,0,01_uninjected,01_uninjected ,31-Jul,11,1,2.64,Y,8.55,Y,0.0255,Y,,0.002982456,2,1,2
A812,C23,19-Jul,22,"USA: Montour Co, Bucknell Natural Area",Zhengkai Zhu ,20-Jul,NA,0,01_uninjected,01_uninjected ,24-Jul,4,1,2.34,Y,8.97,Y,0.0272,Y,,0.00303233,3,2,2
A808,DP,19-Jul,22,"USA: Montour Co, Bucknell Natural Area",Deeshani Patel,20-Jul,NA,0,01_uninjected,01_uninjected ,28-Jul,8,1,3.38,Y,9.81,Y,0.0349,Y,,0.003557594,3,2,2
A810,DP,19-Jul,22,"USA: Montour Co, Bucknell Natural Area",Deeshani Patel,20-Jul,NA,0,01_uninjected,01_uninjected ,24-Jul,4,1,2.64,Y,9.41,Y,0.0366,Y,,0.003889479,3,2,2
A807,AZ124,19-Jul,22,"USA: Montour Co, Bucknell Natural Area",Anqi Zang ,20-Jul,NA,0,01_uninjected,01_uninjected ,26-Jul,6,1,3.46,Y,10.06,Y,0.0414,Y,,0.004115308,3,3,2
A809,DP,19-Jul,22,"USA: Montour Co, Bucknell Natural Area",Deeshani Patel,20-Jul,NA,0,01_uninjected,01_uninjected ,24-Jul,4,1,3.1,Y,9.37,Y,0.0267,Y,,0.00284952,3,1,2
A923,DP,20-Jul,23,"USA: Union Co, Bucknell Ropes Course",Deeshani Patel,21-Jul,NA,0,01_uninjected,01_uninjected ,29-Jul,8,1,3.07,Y,8.78,Y,0.0293,Y,,0.00333713,2,2,3
A924,DP,20-Jul,23,"USA: Union Co, Bucknell Ropes Course",Deeshani Patel,21-Jul,NA,0,01_uninjected,01_uninjected ,30-Jul,9,1,3.53,Y,10.02,Y,0.0388,Y,,0.003872255,3,2,3
A289,B18,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Zhengkai Zhu ,7-Jul,NA,0,02_PBS,02_PBS ,14-Jul,7,1,2.1,Y,8.13,Y,0.025,Y,,0.003075031,2,1,1
A293,SEL,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Sarah Lower ,7-Jul,NA,0,02_PBS,02_PBS ,16-Jul,5,1,3.29,Y,8.84,Y,0.0256,Y,,0.002895928,2,1,1
A281,SEL,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Sarah Lower ,7-Jul,NA,0,02_PBS,02_PBS ,14-Jul,7,1,1.86,Y,8.32,Y,0.0264,Y,,0.003173077,2,1,1
A277,MJT38,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Maddy Tuffy ,7-Jul,NA,0,02_PBS,02_PBS ,14-Jul,7,1,2.64,Y,9.6,Y,0.0272,Y,,0.002833333,3,2,1
A279,MJT39,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Maddy Tuffy ,7-Jul,NA,0,02_PBS,02_PBS ,18-Jul,11,1,2.58,Y,8.13,Y,0.0278,Y,,0.003419434,2,2,1
A280,B17,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Zhengkai Zhu ,7-Jul,NA,0,02_PBS,02_PBS ,14-Jul,7,1,2.8,Y,8.78,Y,0.028,Y,,0.003189066,2,2,1
A291,AZ62,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Anqi Zang ,7-Jul,NA,0,02_PBS,02_PBS ,20-Jul,13,1,2.83,Y,8.63,Y,0.0323,Y,,0.003742758,2,2,1
A288,B21,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Zhengkai Zhu ,7-Jul,NA,0,02_PBS,02_PBS ,13-Jul,6,1,2.45,Y,10.46,Y,0.0328,Y,,0.003135755,4,2,1
A286,DP22,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Deeshani Patel ,7-Jul,NA,0,02_PBS,02_PBS ,16-Jul,9,1,3.24,Y,9.98,Y,0.033,Y,,0.003306613,3,2,1
A294,SEL,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Sarah Lower ,7-Jul,NA,0,02_PBS,02_PBS ,12-Jul,7,1,2.74,Y,8.2,Y,0.0334,Y,,0.004073171,2,2,1
A287,DP21,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Deeshani Patel ,7-Jul,NA,0,02_PBS,02_PBS ,18-Jul,11,1,2.83,Y,9.18,Y,0.0336,Y,,0.003660131,3,2,1
A284,SEL,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Sarah Lower ,7-Jul,NA,0,02_PBS,02_PBS ,16-Jul,9,1,3.27,Y,9.31,Y,0.0373,Y,,0.004006445,3,2,1
A278,MJT37,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Maddy Tuffy ,7-Jul,NA,0,02_PBS,02_PBS ,19-Jul,12,1,3.03,Y,9.33,Y,0.0384,Y,,0.004115756,3,2,1
A283,AZ60,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Anqi Zang ,7-Jul,NA,0,02_PBS,02_PBS ,18-Jul,11,1,2.9,Y,9.93,Y,0.0403,Y,,0.004058409,3,3,1
A275,DP25,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Deeshani Patel ,7-Jul,NA,0,02_PBS,02_PBS ,23-Jul,16,1,3.24,Y,9.58,Y,0.043,Y,,0.004488518,3,3,1
A292,DP28,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Deeshani Patel ,7-Jul,NA,0,02_PBS,02_PBS ,21-Jul,14,1,2.31,Y,9.93,Y,0.043,Y,,0.004330312,3,3,1
A276,DP18,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Deeshani Patel ,7-Jul,NA,0,02_PBS,02_PBS ,19-Jul,12,1,3.27,Y,9.24,Y,0.0473,Y,,0.005119048,3,3,1
A290,AZ57,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Anqi Zang ,7-Jul,NA,0,02_PBS,02_PBS ,11-Jul,4,1,3.55,Y,10.25,Y,0.0482,Y,,0.004702439,3,3,1
A282,B09,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Zhengkai Zhu ,7-Jul,NA,0,02_PBS,02_PBS ,18-Jul,11,1,2.77,Y,10.73,Y,0.0569,Y,,0.005302889,4,4,1
A361,B29,10-Jul,13,"USA: Union Co, Bucknell Farm",Zhengkai Zhu ,11-Jul,NA,0,02_PBS,02_PBS ,18-Jul,7,1,1.77,Y,7.78,Y,0.0255,Y,,0.003277635,2,1,1
A359,MJT57,10-Jul,13,"USA: Union Co, Bucknell Farm",Maddy Tuffy ,11-Jul,NA,0,02_PBS,02_PBS ,19-Jul,8,1,2.43,Y,6.48,Y,0.0267,Y,,0.00412037,1,1,1
A362,B39,10-Jul,13,"USA: Union Co, Bucknell Farm",Zhengkai Zhu ,11-Jul,NA,0,02_PBS,02_PBS ,16-Jul,5,1,3.03,Y,8.09,Y,0.0355,Y,,0.004388133,2,2,1
A363,B33,10-Jul,13,"USA: Union Co, Bucknell Farm",Zhengkai Zhu ,11-Jul,NA,0,02_PBS,02_PBS ,26-Jul,15,1,2.66,Y,9.21,Y,0.0394,Y,,0.004277959,3,3,1
A360,MJT59,10-Jul,13,"USA: Union Co, Bucknell Farm",Maddy Tuffy ,11-Jul,NA,0,02_PBS,02_PBS ,23-Jul,12,1,2.33,Y,8.24,Y,0.0407,Y,,0.00493932,2,3,1
A358,MJT58,10-Jul,13,"USA: Union Co, Bucknell Farm",Maddy Tuffy ,11-Jul,NA,0,02_PBS,02_PBS ,27-Jul,16,1,2.68,Y,9.59,Y,0.0542,Y,,0.005651721,3,4,1
A425,MJT65,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Maddy Tuffy ,13-Jul,NA,0,02_PBS,02_PBS ,18-Jul,5,1,2.03,Y,6.32,Y,0.0158,Y,,0.0025,1,1,1
A429,VS112,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Victor Sustinov ,13-Jul,NA,0,02_PBS,02_PBS ,21-Jul,8,1,1.94,Y,6.72,Y,0.0175,Y,,0.002604167,1,1,1
A430,AZ90,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Anqi Zang ,13-Jul,NA,0,02_PBS,02_PBS ,18-Jul,5,1,2.28,Y,8.23,Y,0.0201,Y,,0.002442284,2,1,1
A507,EVB30,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Emily Van Beek ,13-Jul,NA,0,02_PBS,02_PBS ,19-Jul,6,1,2.69,Y,8.06,Y,0.0202,Y,,0.002506203,2,1,1
A433,AZ86,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Anqi Zang ,13-Jul,NA,0,02_PBS,02_PBS ,18-Jul,5,1,2.16,Y,6.98,Y,0.023,Y,,0.003295129,1,1,1
A427,MJT76,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Maddy Tuffy ,13-Jul,NA,0,02_PBS,02_PBS ,22-Jul,9,1,2.28,Y,6.91,Y,0.0233,Y,,0.003371925,1,1,1
A466,SEL,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Sarah Lower ,13-Jul,NA,0,02_PBS,02_PBS ,18-Jul,5,1,3.11,Y,8.65,Y,0.024,Y,,0.002774566,2,1,1
A434,EVB26,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Emily Van Beek ,13-Jul,NA,0,02_PBS,02_PBS ,24-Jul,11,1,2.95,Y,7.23,Y,0.0245,Y,,0.003388658,1,1,1
A471,SEL,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Sarah Lower ,13-Jul,NA,0,02_PBS,02_PBS ,14-Jul,1,1,2.9,Y,8.48,Y,0.0247,Y,,0.002912736,2,1,1
A505,VS104,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Victor Sustinov ,13-Jul,NA,0,02_PBS,02_PBS ,23-Jul,12,1,2.5,Y,7.81,Y,0.0253,Y,,0.003239437,2,1,1
A511,AZ874,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Anqi Zang ,13-Jul,NA,0,02_PBS,02_PBS ,20-Jul,7,1,2.33,Y,7.97,Y,0.0271,Y,,0.003400251,2,2,1
A432,B52,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Zhengkai Zhu ,13-Jul,NA,0,02_PBS,02_PBS ,29-Jul,16,1,3.18,Y,8.27,Y,0.0275,Y,,0.003325272,2,2,1
A468,SEL,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Sarah Lower ,13-Jul,NA,0,02_PBS,02_PBS ,18-Jul,5,1,2.83,Y,8.64,Y,0.0276,Y,,0.003194444,2,2,1
A465,SEL,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Sarah Lower ,13-Jul,NA,0,02_PBS,02_PBS ,20-Jul,7,1,3.18,Y,8.88,Y,0.0282,Y,,0.003175676,2,2,1
A469,SEL,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Sarah Lower ,13-Jul,NA,0,02_PBS,02_PBS ,15-Jul,2,1,2.84,Y,9.54,Y,0.0296,Y,,0.003102725,3,2,1
A428,B57,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Zhengkai Zhu ,13-Jul,NA,0,02_PBS,02_PBS ,18-Jul,5,1,3.15,Y,9.44,Y,0.0299,Y,,0.003167373,3,2,1
A508,EVB23,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Emily Van Beek ,13-Jul,NA,0,02_PBS,02_PBS ,24-Jul,11,1,2.72,Y,8.63,Y,0.0304,Y,,0.003522596,2,2,1
A512,MJT72,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Maddy Tuffy ,13-Jul,NA,0,02_PBS,02_PBS ,22-Jul,9,1,2.88,Y,9.29,Y,0.031,Y,,0.003336921,3,2,1
A473,SEL,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Sarah Lower ,13-Jul,NA,0,02_PBS,02_PBS ,26-Jul,13,1,2.77,Y,8.58,Y,0.0326,Y,,0.003799534,2,2,1
A426,MJT69,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Maddy Tuffy ,13-Jul,NA,0,02_PBS,02_PBS ,20-Jul,7,1,3.13,Y,8.83,Y,0.0334,Y,,0.003782559,2,2,1
A470,SEL,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Sarah Lower ,13-Jul,NA,0,02_PBS,02_PBS ,19-Jul,6,1,2.93,Y,9.58,Y,0.0336,Y,,0.003507307,3,2,1
A514,EVB25,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Emily Van Beek ,13-Jul,NA,0,02_PBS,02_PBS ,17-Jul,4,1,2.99,Y,7.5,Y,0.0341,Y,,0.004546667,2,2,1
A474,SEL,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Sarah Lower ,13-Jul,NA,0,02_PBS,02_PBS ,22-Jul,9,1,3.01,Y,9.55,Y,0.0343,Y,,0.003591623,3,2,1
A513,MJT85,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Maddy Tuffy ,13-Jul,NA,0,02_PBS,02_PBS ,23-Jul,10,1,2.56,Y,9.67,Y,0.0361,Y,,0.003733195,3,2,1
A509,EVB33,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Emily Van Beek ,13-Jul,NA,0,02_PBS,02_PBS ,16-Jul,3,1,3.5,Y,9.94,Y,0.038,Y,,0.003822938,3,2,1
A510,VS100,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Victor Sustinov ,13-Jul,NA,0,02_PBS,02_PBS ,26-Jul,13,1,2.09,Y,9.48,Y,0.0444,Y,,0.004683544,3,3,1
A431,B63,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Zhengkai Zhu ,13-Jul,NA,0,02_PBS,02_PBS ,1-Aug,19,1,2.6,Y,10.06,Y,0.0466,Y,,0.004632207,3,3,1
A472,SEL,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Sarah Lower ,13-Jul,NA,0,02_PBS,02_PBS ,19-Jul,6,1,3.23,Y,11.29,Y,0.0575,Y,,0.005093003,4,4,1
A596,AZ93,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Anqi Zang ,15-Jul,NA,0,02_PBS,02_PBS ,21-Jul,6,1,2.4,Y,7.89,Y,0.0204,Y,,0.002585551,2,1,2
A645,EVB79,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Emily Van Beek ,15-Jul,NA,0,02_PBS,02_PBS ,23-Jul,8,1,1.88,Y,8.19,Y,0.0214,Y,,0.002612943,2,1,2
A549,SEL,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Sarah Lower ,15-Jul,NA,0,02_PBS,02_PBS ,27-Jul,12,1,2.08,Y,7.55,Y,0.023,Y,,0.003046358,2,1,2
A550,SEL,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Sarah Lower ,15-Jul,NA,0,02_PBS,02_PBS ,17-Jul,2,1,2.58,Y,7.64,Y,0.0231,Y,,0.00302356,2,1,2
A709,DP4,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Deeshani Patel ,15-Jul,NA,0,02_PBS,02_PBS ,28-Jul,13,1,2.53,Y,8.6,Y,0.0241,Y,,0.002802326,2,1,2
A548,SEL,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Sarah Lower ,15-Jul,NA,0,02_PBS,02_PBS ,18-Jul,3,1,3.19,Y,7.79,Y,0.0242,Y,,0.003106547,2,1,2
A551,EVB65,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Emily Van Beek ,15-Jul,NA,0,02_PBS,02_PBS ,25-Jul,10,1,2.99,Y,7.26,Y,0.0257,Y,,0.003539945,1,1,2
A710,C04,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Zhengkai Zhu ,15-Jul,NA,0,02_PBS,02_PBS ,27-Jul,12,1,2.28,Y,8.87,Y,0.0277,Y,,0.003122886,2,2,2
A755,DP78,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Deeshani Patel ,15-Jul,NA,0,02_PBS,02_PBS ,18-Jul,3,1,3.31,Y,8.81,Y,0.0287,Y,,0.003257662,2,2,2
A757,MJT98,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Maddy Tuffy ,15-Jul,NA,0,02_PBS,02_PBS ,19-Jul,4,1,3.55,Y,9.89,Y,0.0314,Y,,0.003174924,3,2,2
A597,AZ103,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Anqi Zang ,15-Jul,NA,0,02_PBS,02_PBS ,22-Jul,7,1,2.5,Y,9.09,Y,0.0315,Y,,0.003465347,3,2,2
A598,AZ105,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Anqi Zang ,15-Jul,NA,0,02_PBS,02_PBS ,23-Jul,8,1,2.06,Y,8.63,Y,0.0323,Y,,0.003742758,2,2,2
